programID,Date,eventType,Venue,Location,Time
4148,1877-02-17T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1105,1877-03-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5492,1877-04-28T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
7360,1877-11-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4353,1877-12-22T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
680,1878-01-12T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5040,1878-02-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2052,1878-03-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6383,1878-04-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
8764,1878-11-07T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
8764,1878-11-09T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
886,1878-11-23T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2580,1878-12-05T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
2580,1878-12-07T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",None
5260,1878-12-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11600,1878-12-28T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
2703,1879-01-02T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
2703,1879-01-04T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
1577,1879-01-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2829,1879-01-30T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",2:00PM
2829,1879-02-01T05:00:00Z,Subscription Season,Steinway Hall,"Manhattan, NY",8:00PM
